Country Name,Diabetes Rate,Inactivity Rate,che_gdp,Diabetes Mortality Rate,Cluster
Uganda,48.57970356,5.5496364,4.7,48.57970356,1
United Republic of Tanzania,37.59562032,4.2993827,3.4,37.59562032,1
Zambia,52.94645319,14.088969,6.6,52.94645319,1
Zimbabwe,67.70822938,17.698755,2.8,67.70822938,1
Antigua and Barbuda,61.53434375,38.117939,5.9,61.53434375,2
Argentina,17.01825395,38.50597,9.7,17.01825395,3
Bahamas,50.66210301,37.167393,7.1,50.66210301,2
Barbados,45.8829614,44.032654,8.1,45.8829614,2
Belize,66.56144789,41.519344,5.0,66.56144789,2
Bolivia (Plurinational State of),67.15958231,22.574299,8.2,67.15958231,1
Brazil,29.24427617,40.398304,9.9,29.24427617,3
Canada,8.504999179,37.180416,12.3,8.504999179,3
Chile,15.40407039,38.213932,9.3,15.40407039,3
Colombia,13.00473344,34.429096,9.0,13.00473344,3
Costa Rica,26.31913312,49.658787,7.6,26.31913312,3
Cuba,12.17146286,61.075569,13.8,12.17146286,3
Dominican Republic,34.06017146,37.024555,4.9,34.06017146,2
Ecuador,38.76384394,22.777739,8.3,38.76384394,2
El Salvador,33.29708022,39.231148,9.7,33.29708022,2
Grenada,80.5039734,35.869469,5.7,80.5039734,1
Guatemala,83.60253134,36.830093,6.9,83.60253134,1
Guyana,96.86696319,35.081787,4.9,96.86696319,1
Haiti,79.89386167,28.299654,3.5,79.89386167,1
Honduras,35.45436146,36.775093,9.2,35.45436146,2
Jamaica,70.17013996,38.614437,7.2,70.17013996,2
Mexico,94.5635754,27.990002,6.1,94.5635754,1
Nicaragua,71.01556848,38.748055,9.7,71.01556848,2
Panama,30.97163505,57.638584,9.7,30.97163505,3
Paraguay,53.03114884,35.961838,8.0,53.03114884,2
Peru,19.80238794,34.473938,6.2,19.80238794,3
Saint Lucia,70.6250551,20.949776,6.2,70.6250551,1
Saint Vincent and the Grenadines,52.86989851,30.457857,5.4,52.86989851,2
Suriname,71.97998388,48.855488,5.7,71.97998388,2
Trinidad and Tobago,77.5791734,44.51088,7.0,77.5791734,2
United States of America,14.76123501,33.736992,17.4,14.76123501,0
Uruguay,15.85528416,33.844395,9.4,15.85528416,3
Venezuela (Bolivarian Republic of),55.34158299,45.729477,4.0,55.34158299,2
Afghanistan,57.92835787,33.356445,21.8,57.92835787,2
Bahrain,144.671712,38.614265,4.3,144.671712,1
Djibouti,57.97612563,16.979588,2.9,57.97612563,1
Egypt,39.74325084,33.801437,4.6,39.74325084,2
Iran (Islamic Republic of),26.90008463,46.278023,5.8,26.90008463,3
Iraq,57.53245175,52.021988,5.2,57.53245175,2
Jordan,45.99672692,28.23,7.3,45.99672692,2
Kuwait,19.17140145,63.315113,5.8,19.17140145,3
Lebanon,21.71929676,58.615612,10.1,21.71929676,3
Morocco,32.8363112,24.509108,5.7,32.8363112,2
Oman,64.76065752,40.878246,4.4,64.76065752,2
Pakistan,65.64907692,45.65192,2.9,65.64907692,2
Qatar,127.9126042,53.482586,2.9,127.9126042,1
Saudi Arabia,37.95048569,51.536118,6.0,37.95048569,3
Sudan,23.02246045,19.111473,2.8,23.02246045,2
Tunisia,20.35595642,33.35651,7.0,20.35595642,3
United Arab Emirates,62.63645006,66.137848,5.3,62.63645006,2
Albania,5.509274028,24.279688,7.3,5.509274028,3
Armenia,19.16719393,26.583851,12.3,19.16719393,0
Austria,11.04000027,19.75799,12.1,11.04000027,0
Azerbaijan,30.9680329,23.920729,4.7,30.9680329,2
Belarus,2.707208758,14.017751,6.6,2.707208758,3
Belgium,5.297140794,25.410315,11.0,5.297140794,3
Bosnia and Herzegovina,38.53838447,21.074688,9.6,38.53838447,2
Bulgaria,9.858879268,32.280933,8.6,9.858879268,3
Croatia,19.86057362,28.445187,8.1,19.86057362,3
Cyprus,17.4685474,40.830891,9.4,17.4685474,3
Czechia,16.89255718,23.366205,9.5,16.89255718,0
Denmark,10.65314034,12.138766,10.8,10.65314034,0
Estonia,7.694384533,15.939185,7.5,7.694384533,0
Finland,4.430482529,9.5760174,10.3,4.430482529,0
France,6.627179117,23.179119,12.3,6.627179117,0
Georgia,28.36946713,24.019255,8.4,28.36946713,2
Germany,8.763067065,11.978459,12.9,8.763067065,0
Greece,7.198435355,35.195946,9.2,7.198435355,3
Hungary,13.51508942,29.413515,7.4,13.51508942,3
Iceland,5.017077848,25.917837,9.7,5.017077848,3
Ireland,6.060922206,21.922478,6.7,6.060922206,3
Israel,18.18037745,26.558695,7.9,18.18037745,3
Italy,10.42152421,40.085499,9.4,10.42152421,3
Kazakhstan,15.44067361,28.229771,3.9,15.44067361,3
Kyrgyzstan,8.181700127,19.874479,5.4,8.181700127,3
Latvia,12.38908817,14.488977,9.0,12.38908817,0
Lithuania,9.3807508,20.225798,7.8,9.3807508,3
Luxembourg,6.603208168,13.918783,5.7,6.603208168,3
Malta,17.27353318,40.712742,10.6,17.27353318,3
Montenegro,19.34266455,22.753977,10.6,19.34266455,0
Netherlands (Kingdom of the),6.62108355,9.412878,11.3,6.62108355,0
North Macedonia,35.10012951,26.103821,8.5,35.10012951,2
Norway,5.788506535,35.115173,10.1,5.788506535,3
Poland,12.26345961,36.96788,6.4,12.26345961,3
Portugal,13.00767794,51.65369,11.1,13.00767794,3
Republic of Moldova,8.034362572,10.770437,7.8,8.034362572,0
Romania,6.542216854,36.756824,6.5,6.542216854,3
Russian Federation,8.088462965,18.106434,7.4,8.088462965,3
Serbia,22.5846554,44.853954,10.0,22.5846554,3
Slovakia,9.390783348,23.295132,7.8,9.390783348,3
Slovenia,6.854712409,18.972822,9.5,6.854712409,0
Spain,6.171003738,21.848007,10.7,6.171003738,0
Sweden,8.448436456,8.6954651,11.3,8.448436456,0
Switzerland,5.841789359,19.034122,11.8,5.841789359,0
Tajikistan,36.31744416,35.74255,8.0,36.31744416,2
Türkiye,26.78287024,44.388168,4.6,26.78287024,3
Turkmenistan,21.07425028,12.09028,5.6,21.07425028,2
Ukraine,3.510019886,12.760069,8.0,3.510019886,0
United Kingdom of Great Britain and Northern Ireland,4.308400948,18.98419,12.4,4.308400948,0
Uzbekistan,30.02640973,31.747917,7.7,30.02640973,2
Bangladesh,28.47340899,20.300066,2.4,28.47340899,2
Bhutan,36.12477092,9.9078541,3.8,36.12477092,1
India,32.39841547,49.418007,3.3,32.39841547,3
Indonesia,57.29997632,18.998718,3.7,57.29997632,1
Maldives,30.35078606,24.620359,10.0,30.35078606,2
Myanmar,59.25715117,22.000977,5.6,59.25715117,1
Nepal,23.35892563,8.2337427,5.4,23.35892563,1
Sri Lanka,56.79189839,37.182419,4.1,56.79189839,2
Thailand,29.28231872,28.872009,5.2,29.28231872,2
Timor-Leste,34.76396671,26.925648,11.4,34.76396671,2
Australia,9.403350357,25.465837,10.5,9.403350357,3
Brunei Darussalam,70.80441846,32.532093,2.2,70.80441846,1
Cambodia,42.29442239,13.272564,7.5,42.29442239,1
China,12.38135444,23.834757,5.4,12.38135444,3
Fiji,263.3862863,15.530147,5.4,263.3862863,1
Japan,3.324918437,44.746857,10.8,3.324918437,3
Kiribati,235.7047679,31.895262,14.8,235.7047679,1
Lao People's Democratic Republic,55.14339479,15.83667,2.7,55.14339479,1
Malaysia,26.66457333,39.900253,4.4,26.66457333,3
Micronesia (Federated States of),208.1655043,29.312151,11.0,208.1655043,1
Mongolia,11.6228301,27.461565,6.9,11.6228301,3
New Zealand,9.910942633,18.67824,10.0,9.910942633,0
Papua New Guinea,102.7282214,12.471538,2.3,102.7282214,1
Philippines,66.4344486,45.463844,5.9,66.4344486,2
Republic of Korea,9.071409755,58.063519,9.3,9.071409755,3
Samoa,100.8783545,13.474737,6.8,100.8783545,1
Singapore,3.889654701,23.174879,5.6,3.889654701,3
Solomon Islands,98.92451937,17.460873,4.8,98.92451937,1
Tonga,113.3551022,30.665785,6.3,113.3551022,1
Vanuatu,101.0941936,7.5170069,4.4,101.0941936,1
Viet Nam,44.78948888,30.318979,4.6,44.78948888,2
