"Indicator Name","Cancer Type","Year","Country Name","Region","Gender","Area","Numeric","Lower Confidence Limit","Upper Confidence Limit","Comment",
"Physical inactivity, adults aged 18+","","2022","Burkina Faso","African Region","Total","","16.943354","11.352014","23.270716","",
"Physical inactivity, adults aged 18+","","2022","Burkina Faso","African Region","Males","","14.31019","8.1330662","22.053696","",
"Physical inactivity, adults aged 18+","","2022","Burkina Faso","African Region","Females","","19.302607","10.767476","29.960283","",
"Physical inactivity, adults aged 18+","","2022","Burundi","African Region","Total","","14.274113","4.1033468","30.657349","",
"Physical inactivity, adults aged 18+","","2022","Burundi","African Region","Males","","13.996124","2.9389744","35.532917","",
"Physical inactivity, adults aged 18+","","2022","Burundi","African Region","Females","","14.548161","1.5546055","41.269474","",
"Physical inactivity, adults aged 18+","","2022","Cabo Verde","African Region","Total","","31.234873","22.201296","41.091534","",
"Physical inactivity, adults aged 18+","","2022","Cabo Verde","African Region","Males","","22.359024","12.581566","34.711494","",
"Physical inactivity, adults aged 18+","","2022","Cabo Verde","African Region","Females","","39.487465","24.931206","55.669739","",
"Physical inactivity, adults aged 18+","","2022","Cambodia","Western Pacific Region","Total","","13.272564","8.9087095","18.749052","",
"Physical inactivity, adults aged 18+","","2022","Cambodia","Western Pacific Region","Males","","12.64192","7.0496769","19.760336","",
"Physical inactivity, adults aged 18+","","2022","Cambodia","Western Pacific Region","Females","","13.683775","7.5880313","21.98637","",
"Physical inactivity, adults aged 18+","","2022","Cameroon","African Region","Total","","18.814741","6.2418642","37.49107","",
"Physical inactivity, adults aged 18+","","2022","Cameroon","African Region","Males","","16.143055","3.6615942","39.528324","",
"Physical inactivity, adults aged 18+","","2022","Cameroon","African Region","Females","","21.366327","3.2482908","53.241974","",
"Physical inactivity, adults aged 18+","","2022","Canada","Region of the Americas","Total","","37.180416","30.049007","44.765221","",
"Physical inactivity, adults aged 18+","","2022","Canada","Region of the Americas","Males","","35.763298","26.065126","45.9053","",
"Physical inactivity, adults aged 18+","","2022","Canada","Region of the Americas","Females","","38.611355","27.708038","49.650284","",
"Physical inactivity, adults aged 18+","","2022","Central African Republic","African Region","Total","","16.53388","5.2321138","34.472588","",
"Physical inactivity, adults aged 18+","","2022","Central African Republic","African Region","Males","","13.81109","3.1229768","35.975349","",
"Physical inactivity, adults aged 18+","","2022","Central African Republic","African Region","Females","","19.118834","2.6152096","49.112587","",
"Physical inactivity, adults aged 18+","","2022","Chad","African Region","Total","","17.847639","6.6329026","34.842762","",
"Physical inactivity, adults aged 18+","","2022","Chad","African Region","Males","","16.501776","4.1381674","37.949951","",
"Physical inactivity, adults aged 18+","","2022","Chad","African Region","Females","","19.146751","3.1550333","47.954544","",
"Physical inactivity, adults aged 18+","","2022","Chile","Region of the Americas","Total","","38.213932","28.509861","48.580597","",
